URL,Résumé
cemarenov.fr/fondation-garage,"Thématique: Guide pilier des fondations. H1: Fondation de garage : obligatoire, dimensions, types et étapes. C'est l'article central et généraliste sur le sujet. Il compare les différentes solutions (semelles filantes classiques contre radier armé) et balaye les 5 étapes clés de réalisation, tout en rappelant le cadre légal (permis vs déclaration)."
cemarenov.fr/fondation-pour-muret-de-60-cm-de-hauteur,"Thématique: Fondation paysagère. H1: Fondation pour muret de 60 cm. Même pour une petite clôture, la base est vitale. L'article détaille le terrassement de la tranchée, le béton de propreté, le ferraillage d'une semelle filante de petite dimension, ainsi que les temps de séchage avant de monter les parpaings ou pierres."
cemarenov.fr/fondation-pour-terrain-en-pente,"Thématique: Maçonnerie complexe. H1: Fondation pour terrain en pente. Un guide hautement technique expliquant pourquoi l'étude de sol G2 est non-négociable. Il présente les solutions d'ancrage en gradins (fondations en redans), le recours aux micropieux pour un accrochage profond, et les enjeux de la gestion des eaux de ruissellement."
cemarenov.fr/mur-parpaing-sans-enduit,"Thématique: Protection maçonnerie brute. H1: Peut-on laisser un mur en parpaing sans enduit ? L'article croise le droit civil (règles d'urbanisme sur les murs nus) et la technique (la très forte porosité du parpaing à l'eau de pluie). Il liste les alternatives à l'enduit (comme les hydrofuges ou les parements) et aborde les litiges de mitoyenneté."
cemarenov.fr/mur-pierre-seche,"Thématique: Maçonnerie traditionnelle écologique. H1: Mur en pierre sèche : Technique, prix au m2. Guide sur l'art de bâtir sans aucun liant ni mortier. L'article couvre la préparation de la fondation drainante en gravier, le tri et l'emboîtement des pierres naturelles (calcaire, schiste), et les méthodes pour réparer un effondrement partiel."
cemarenov.fr/mur-poids-pierre-paris,"Thématique: Soutènement urbain massif. H1: Mur poids en pierre à Paris. Focus sur les murs en blocs de pierre qui retiennent les terres uniquement par leur forte masse. Le contenu explique l'obligation absolue de passer par un Bureau d'Études Structure (BET) en milieu urbain dense et liste les 8 règles d'or pour un soutènement pérenne."
cemarenov.fr/nettoyage-facade-javel,"Thématique: Danger d'entretien façade. H1: Nettoyage façade javel 9 6. Une alerte technique sévère sur l'usage de la Javel concentrée pour nettoyer les crépis. L'article détaille le tableau de dilution exact, le besoin impératif de pré-mouiller le mur, l'interdiction des mélanges chimiques, et le risque avéré de brûler et faire fondre l'enduit minéral."
cemarenov.fr/nettoyer-fientes-oiseaux-crepi,"Thématique: Entretien très spécifique de façade. H1: Comment nettoyer des fientes d'oiseaux sur du crépi ? L'article pointe du doigt l'acidité corrosive de l'acide urique sur les enduits neufs. Il interdit l'utilisation du Karcher destructeur, propose des méthodes douces et brosses adaptées, et donne des astuces préventives pour éloigner les volatiles du dessous de toit."
cemarenov.fr/potager-sur-toit,"Thématique: Végétalisation de toit plat. H1: Comment faire un potager sur le toit. Un guide pratique pour l'agriculture urbaine en hauteur. L'article insiste sur la vérification préalable de la solidité structurelle du toit (le poids mort de la terre mouillée est colossal), le choix de bacs et substrats allégés, et la mise en place d'un système d'irrigation pensé pour le vent et le soleil intenses."
cemarenov.fr/rehausser-un-mur-en-parpaing-existant,"Thématique: Surélévation maçonnerie. H1: Rehausser un mur en parpaing existant. L'article aborde l'ingénierie délicate qui consiste à ajouter du poids sur d'anciennes fondations. Il décrit précisément la technique de liaison ferraillée (harpage) entre l'ancien et le nouveau, l'utilisation de blocs à bancher, et le chaînage horizontal de finition."
cemarenov.fr/toiture-amiante,"Thématique: Santé, diagnostic et rénovation. H1: Toiture en fibrociment amiante. Guide sur la gestion de l'amiante dans le bâti ancien (avant 1997). Il explique comment identifier visuellement le matériau, la différence entre l'amiante inerte et volatile, le diagnostic obligatoire avant vente, et détaille les 3 options légales : surveillance, confinement par sur-toiture, ou retrait (désamiantage)."
cemarenov.fr/toiture-commune-sans-copropriete,"Thématique: Droit immobilier et voisinage. H1: Toiture Commune Sans Copropriété : Droits, Frais & Travaux. Décryptage juridique complexe pour les toitures partagées hors syndic. L'article fait la différence entre indivision, mitoyenneté et servitude. Il guide sur le mode de calcul des quotes-parts, la signature d'une convention écrite, et les actions légales en cas de blocage d'un voisin."
cemarenov.fr/vocabulaire-architecture-facade,"Thématique: Lexique technique du bâtiment. H1: Vocabulaire architecture façade. Un dictionnaire complet pour comprendre et décrire l'anatomie d'un bâtiment (trumeau, travée, soubassement, couronnement, modénature, corniche). Le but est de fournir au lecteur tout le langage précis nécessaire à la création de dossiers en mairie (DP, Permis)."
